INFO  2016-05-05 18:59:27,235 438193ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:27 PM
INFO  2016-05-05 18:59:32,127 443085ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:59:32 PM
INFO  2016-05-05 18:59:32,135 443093ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:32 PM
INFO  2016-05-05 18:59:34,020 444978ms UserDetailsController  Edit               - Edit Method starts 5at 5/5/2016 6:59:34 PM
INFO  2016-05-05 18:59:34,026 444984ms UserDetailsController  Edit               - Edit Method Get Details of Sandip at: 5/5/2016 6:59:34 PM
INFO  2016-05-05 18:59:34,027 444985ms UserDetailsController  Edit               - Edit Method End at 5/5/2016 6:59:34 PM
INFO  2016-05-05 18:59:34,029 444987ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:34 PM
INFO  2016-05-05 18:59:35,100 446058ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:59:35 PM
INFO  2016-05-05 18:59:35,115 446073ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:35 PM
INFO  2016-05-05 18:59:36,309 447267ms UserDetailsController  Edit               - Edit Method starts 5at 5/5/2016 6:59:36 PM
INFO  2016-05-05 18:59:36,315 447273ms UserDetailsController  Edit               - Edit Method Get Details of Sandip at: 5/5/2016 6:59:36 PM
INFO  2016-05-05 18:59:36,320 447278ms UserDetailsController  Edit               - Edit Method End at 5/5/2016 6:59:36 PM
INFO  2016-05-05 18:59:36,325 447283ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:36 PM
INFO  2016-05-05 18:59:37,496 448453ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:59:37 PM
INFO  2016-05-05 18:59:37,508 448465ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:37 PM
INFO  2016-05-05 18:59:38,757 449714ms UserDetailsController  Edit               - Edit Method starts 1at 5/5/2016 6:59:38 PM
INFO  2016-05-05 18:59:38,763 449720ms UserDetailsController  Edit               - Edit Method Get Details of Harsh at: 5/5/2016 6:59:38 PM
INFO  2016-05-05 18:59:38,763 449720ms UserDetailsController  Edit               - Edit Method End at 5/5/2016 6:59:38 PM
INFO  2016-05-05 18:59:38,765 449722ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:59:38 PM
INFO  2016-05-05 18:59:41,780 452737ms UserDetailsController  Edit               - Edit Method starts 4at 5/5/2016 6:59:41 PM
INFO  2016-05-05 18:59:41,790 452747ms UserDetailsController  Edit               - Edit Method Get Details of Karan at: 5/5/2016 6:59:41 PM
